iter	MultiClass	Accuracy
255	-0.2146124807	0.9670014347
256	-0.2137934211	0.9670014347
257	-0.2123864787	0.9670014347
258	-0.2114845045	0.9670014347
259	-0.2107197975	0.9670014347
260	-0.2100133906	0.9670014347
261	-0.2089783113	0.9698708752
262	-0.2079690454	0.9698708752
263	-0.2068121841	0.9698708752
264	-0.205960204	0.9698708752
265	-0.2049107994	0.9698708752
266	-0.203734295	0.9698708752
267	-0.2026219722	0.9698708752
268	-0.2015982724	0.9698708752
269	-0.2005409639	0.9698708752
270	-0.1994893408	0.9698708752
271	-0.1988190927	0.9698708752
272	-0.1974039428	0.9698708752
273	-0.1966869242	0.9698708752
274	-0.1959151031	0.9698708752
275	-0.1949680535	0.9698708752
276	-0.1937991046	0.9698708752
277	-0.1926247261	0.9698708752
278	-0.1917742043	0.9698708752
279	-0.1905416201	0.9698708752
280	-0.1893888792	0.9698708752
281	-0.188326288	0.9698708752
282	-0.1873563265	0.9713055954
283	-0.1864942117	0.9713055954
284	-0.1855090503	0.9713055954
285	-0.1845981196	0.9713055954
286	-0.1836427971	0.9713055954
287	-0.1827778454	0.9713055954
288	-0.1818204347	0.9713055954
289	-0.180833857	0.9713055954
290	-0.1797770347	0.9713055954
291	-0.1790286477	0.9713055954
292	-0.1782390691	0.9713055954
293	-0.1771079946	0.9713055954
294	-0.1763573086	0.9713055954
295	-0.1754429597	0.9713055954
296	-0.1746156007	0.9713055954
297	-0.1738526494	0.9713055954
298	-0.1729952364	0.9713055954
299	-0.1720695991	0.9713055954
300	-0.1713523227	0.9713055954
301	-0.1706978228	0.9713055954
302	-0.1697744159	0.9727403156
303	-0.1689805666	0.9741750359
304	-0.1681137858	0.9756097561
305	-0.1672394845	0.9756097561
306	-0.1664488939	0.9770444763
307	-0.1657093745	0.9770444763
308	-0.1648487324	0.9756097561
309	-0.1641741603	0.9756097561
310	-0.1632435557	0.9770444763
311	-0.1624501564	0.9770444763
312	-0.1617434902	0.9770444763
313	-0.1610458753	0.9770444763
314	-0.1601864181	0.9770444763
315	-0.1593278823	0.9770444763
316	-0.1584806769	0.9770444763
317	-0.1576610094	0.9770444763
318	-0.1570914173	0.9770444763
319	-0.1564677061	0.9770444763
320	-0.1558677004	0.9770444763
321	-0.1550788588	0.9784791966
322	-0.1543413226	0.9784791966
323	-0.1537359533	0.9784791966
324	-0.1532268804	0.9784791966
325	-0.1526322558	0.9784791966
326	-0.1521705848	0.9784791966
327	-0.1512604992	0.9784791966
328	-0.1505791107	0.9784791966
329	-0.1499186879	0.9784791966
330	-0.1492457858	0.9784791966
331	-0.1484543709	0.9784791966
332	-0.1477043553	0.9784791966
333	-0.14693755	0.9784791966
334	-0.1461950466	0.9784791966
335	-0.1456394909	0.9799139168
336	-0.1450553033	0.9799139168
337	-0.1444467161	0.9799139168
338	-0.1436693364	0.9799139168
339	-0.1431101965	0.9799139168
340	-0.142342446	0.9799139168
341	-0.1416835079	0.9799139168
342	-0.1409501338	0.9799139168
343	-0.1403471121	0.981348637
344	-0.1396863193	0.9827833572
345	-0.1391746524	0.9827833572
346	-0.1387570492	0.9827833572
347	-0.1380740963	0.981348637
348	-0.1374368171	0.981348637
349	-0.1368043603	0.981348637
350	-0.1363476566	0.981348637
351	-0.1357022004	0.9827833572
352	-0.1352161468	0.9827833572
353	-0.1346589519	0.9827833572
354	-0.1339791198	0.9827833572
355	-0.1331956602	0.9827833572
356	-0.1325882476	0.9827833572
357	-0.1318149781	0.9827833572
358	-0.1312560506	0.9827833572
359	-0.1306218764	0.9827833572
360	-0.1300019177	0.9827833572
361	-0.1296530308	0.9827833572
362	-0.1291243137	0.9827833572
363	-0.1284772633	0.9827833572
364	-0.1278637458	0.9827833572
365	-0.127328021	0.9827833572
366	-0.1267503857	0.9827833572
367	-0.1261795944	0.9827833572
368	-0.1256879428	0.9827833572
369	-0.1251487162	0.9827833572
370	-0.1247079917	0.9842180775
371	-0.1242362832	0.9842180775
372	-0.123715309	0.9842180775
373	-0.1231981972	0.9842180775
374	-0.1226295105	0.9842180775
375	-0.1220857673	0.9842180775
376	-0.1215535537	0.9856527977
377	-0.121049223	0.9856527977
378	-0.1204995287	0.9856527977
379	-0.1200458786	0.9856527977
380	-0.1196558685	0.9856527977
381	-0.1192269652	0.9856527977
382	-0.1189359826	0.9856527977
383	-0.1183513312	0.9856527977
384	-0.1178980515	0.9856527977
385	-0.1175305552	0.9856527977
386	-0.1170382556	0.9856527977
387	-0.1164612438	0.9856527977
388	-0.1161125951	0.9870875179
389	-0.1157916086	0.9885222382
390	-0.1152162374	0.9885222382
391	-0.1148388328	0.9899569584
392	-0.1142626262	0.9899569584
393	-0.1139074452	0.9899569584
394	-0.1134194975	0.9899569584
395	-0.1130518743	0.9899569584
396	-0.1125490178	0.9899569584
397	-0.112063778	0.9899569584
398	-0.1116009872	0.9899569584
399	-0.1111947874	0.9899569584
400	-0.1107617256	0.9899569584
401	-0.1103728473	0.9899569584
402	-0.1099196726	0.9899569584
403	-0.1093969297	0.9899569584
404	-0.1089923664	0.9899569584
405	-0.1086106693	0.9899569584
406	-0.1081655508	0.9899569584
407	-0.107727515	0.9899569584
408	-0.1073306023	0.9899569584
409	-0.1069269123	0.9913916786
410	-0.1065222581	0.9928263989
411	-0.1061210444	0.9928263989
412	-0.1056933851	0.9928263989
413	-0.1052146147	0.9928263989
414	-0.1048536494	0.9928263989
415	-0.1045002784	0.9928263989
416	-0.1040586543	0.9928263989
417	-0.1036440631	0.9928263989
418	-0.10327683	0.9928263989
419	-0.1028387484	0.9928263989
420	-0.1025722242	0.9928263989
421	-0.1021131005	0.9928263989
422	-0.1017796845	0.9928263989
423	-0.1014029004	0.9928263989
424	-0.1009960677	0.9928263989
425	-0.1006055793	0.9928263989
426	-0.1002082045	0.9928263989
427	-0.09992818533	0.9928263989
428	-0.09955844109	0.9928263989
429	-0.09914364563	0.9928263989
430	-0.09873338517	0.9928263989
431	-0.09843205065	0.9928263989
432	-0.09798988486	0.9928263989
433	-0.09758628087	0.9928263989
434	-0.097201453	0.9928263989
435	-0.09682195345	0.9928263989
436	-0.09658429026	0.9928263989
437	-0.0962374393	0.9928263989
438	-0.09590190753	0.9928263989
439	-0.09558029174	0.9928263989
440	-0.09523669717	0.9928263989
441	-0.09486477156	0.9928263989
442	-0.09461340357	0.9928263989
443	-0.09424600227	0.9928263989
444	-0.09395122669	0.9928263989
445	-0.09364445068	0.9928263989
446	-0.09340767322	0.9928263989
447	-0.09300562713	0.9928263989
448	-0.09262636396	0.9928263989
449	-0.09241199364	0.9928263989
450	-0.09207392321	0.9928263989
451	-0.09176776992	0.9928263989
452	-0.09142915531	0.9928263989
453	-0.09116607506	0.9928263989
454	-0.0908540063	0.9928263989
455	-0.09052307802	0.9928263989
456	-0.0900759634	0.9928263989
457	-0.08978387784	0.9942611191
458	-0.08950018382	0.9942611191
459	-0.08923443501	0.9928263989
460	-0.08890807435	0.9942611191
461	-0.08857580376	0.9942611191
462	-0.08828773819	0.9942611191
463	-0.08798641276	0.9942611191
464	-0.08769268126	0.9942611191
465	-0.08733378235	0.9942611191
466	-0.08712172624	0.9942611191
467	-0.08689943214	0.9942611191
468	-0.08660329257	0.9942611191
469	-0.08639762406	0.9942611191
470	-0.08614231582	0.9942611191
471	-0.08585702287	0.9942611191
472	-0.08560381691	0.9956958393
473	-0.08539491327	0.9956958393
474	-0.08517234653	0.9956958393
475	-0.08494222239	0.9956958393
476	-0.08465255511	0.9956958393
477	-0.08446869427	0.9956958393
478	-0.08426543594	0.9956958393
479	-0.08397153759	0.9956958393
480	-0.08364946019	0.9956958393
481	-0.08342629051	0.9956958393
482	-0.08312478938	0.9956958393
483	-0.08279454385	0.9956958393
484	-0.08254905702	0.9956958393
485	-0.08230274031	0.9956958393
486	-0.08205351063	0.9956958393
487	-0.08179012614	0.9956958393
488	-0.0815760327	0.9956958393
489	-0.08135755562	0.9956958393
490	-0.0810328683	0.9956958393
491	-0.08081511334	0.9956958393
